batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
62,31744,0.996857,-4.60431,0.318374,-6.06863,-2.9326,-4.7909,-4.61259,-4.39783
63,32256,0.996807,-4.61468,0.329583,-5.77451,-3.68107,-4.81878,-4.58732,-4.3907
64,32768,0.996756,-4.57684,0.32208,-5.71569,-3.69455,-4.77895,-4.56158,-4.37148
65,33280,0.996705,-4.60487,0.325629,-5.91177,-3.46722,-4.78485,-4.57583,-4.40648
66,33792,0.996655,-4.60075,0.333517,-6.0098,-3.69945,-4.81373,-4.57813,-4.38833
67,34304,0.996604,-4.57222,0.312985,-5.63235,-3.67218,-4.76815,-4.55331,-4.34214
68,34816,0.996553,-4.61855,0.333387,-5.79412,-3.50061,-4.81273,-4.5864,-4.40265
69,35328,0.996502,-4.57061,0.316859,-5.85294,-3.66759,-4.73935,-4.55408,-4.37155
70,35840,0.996452,-4.5949,0.330009,-5.79412,-3.447,-4.77597,-4.56939,-4.38358
71,36352,0.996401,-4.57698,0.325147,-5.62745,-3.62868,-4.76754,-4.56158,-4.36267
72,36864,0.99635,-4.57773,0.327073,-5.91177,-3.59865,-4.77742,-4.56863,-4.3606
73,37376,0.9963,-4.57581,0.315111,-5.57629,-3.75368,-4.7667,-4.58073,-4.36665
74,37888,0.996249,-4.60327,0.32263,-5.75797,-3.63971,-4.79695,-4.59298,-4.39974
75,38400,0.996198,-4.59553,0.338808,-5.70588,-3.56464,-4.81679,-4.57322,-4.36451
76,38912,0.996148,-4.61224,0.33981,-6.13726,-3.66513,-4.79098,-4.6008,-4.38948
77,39424,0.996097,-4.58244,0.319997,-5.4231,-3.58732,-4.78439,-4.56878,-4.37554
78,39936,0.996046,-4.57916,0.324358,-5.71753,-3.5095,-4.79933,-4.53922,-4.3688
79,40448,0.995996,-4.59151,0.330518,-5.63726,-3.20067,-4.81189,-4.56235,-4.37485
80,40960,0.995945,-4.58205,0.308318,-5.7549,-3.41146,-4.78401,-4.55484,-4.38695
81,41472,0.995894,-4.59011,0.314925,-5.7549,-3.53585,-4.78431,-4.5769,-4.36979
82,41984,0.995844,-4.60279,0.337306,-5.63879,-3.67004,-4.82353,-4.58364,-4.38465
83,42496,0.995793,-4.60709,0.318099,-5.51961,-3.72212,-4.82146,-4.58961,-4.39177
84,43008,0.995742,-4.57193,0.3117,-5.67647,-3.82782,-4.75927,-4.54688,-4.3439
85,43520,0.995691,-4.57895,0.327079,-5.7451,-3.61121,-4.78416,-4.55208,-4.35654
86,44032,0.995641,-4.59507,0.32461,-5.51961,-3.67433,-4.81189,-4.59161,-4.3629
87,44544,0.99559,-4.57085,0.315148,-5.7451,-3.70343,-4.77551,-4.56464,-4.37439
88,45056,0.995539,-4.59861,0.343442,-5.87255,-3.56955,-4.8197,-4.58624,-4.37163
89,45568,0.995489,-4.59583,0.341081,-5.69884,-3.37745,-4.80859,-4.57154,-4.35869
90,46080,0.995438,-4.58172,0.326586,-5.71569,-3.70772,-4.8007,-4.57154,-4.34559
91,46592,0.995387,-4.60111,0.325651,-5.9902,-3.44271,-4.81549,-4.59161,-4.38565
92,47104,0.995337,-4.5863,0.329138,-5.9902,-3.73683,-4.8066,-4.5432,-4.36029
93,47616,0.995286,-4.58354,0.333753,-5.53922,-3.5144,-4.79197,-4.5723,-4.36972
94,48128,0.995235,-4.58733,0.30592,-5.48162,-3.17157,-4.79871,-4.58012,-4.38036
95,48640,0.995185,-4.60767,0.326103,-6.02941,-3.66054,-4.80193,-4.58318,-4.38381
96,49152,0.995134,-4.56699,0.332554,-5.71569,-3.66391,-4.78914,-4.54167,-4.34827
97,49664,0.995083,-4.58395,0.326316,-5.70588,-3.39675,-4.78998,-4.57858,-4.3786
98,50176,0.995033,-4.59441,0.32442,-5.7549,-3.55147,-4.78937,-4.58931,-4.38427
99,50688,0.994982,-4.6013,0.318569,-5.79412,-3.42984,-4.79473,-4.57904,-4.39231
100,51200,0.994931,-4.57251,0.342197,-6.22549,-3.40165,-4.77773,-4.56648,-4.33226
101,51712,0.99488,-4.57995,0.310679,-5.71844,-3.78646,-4.76302,-4.58134,-4.37148
102,52224,0.99483,-4.58377,0.333484,-5.95098,-3.56801,-4.78615,-4.55852,-4.36749
103,52736,0.994779,-4.60363,0.332505,-5.9133,-3.68536,-4.80591,-4.59896,-4.38649
104,53248,0.994728,-4.56899,0.330734,-5.60784,-3.39859,-4.77581,-4.55239,-4.35233
105,53760,0.994678,-4.58848,0.318482,-5.83119,-3.38909,-4.77451,-4.57797,-4.39086
106,54272,0.994627,-4.59483,0.336096,-5.7451,-3.62561,-4.81373,-4.58134,-4.36267
107,54784,0.994576,-4.61255,0.318067,-5.59804,-3.74173,-4.80699,-4.59743,-4.41536
108,55296,0.994526,-4.58409,0.320339,-5.66942,-3.36183,-4.77911,-4.57276,-4.38029
109,55808,0.994475,-4.57374,0.358491,-5.97059,-3.58487,-4.81748,-4.54228,-4.34858
110,56320,0.994424,-4.59832,0.33559,-5.7549,-3.75797,-4.78485,-4.57767,-4.37868
111,56832,0.994374,-4.59138,0.342359,-5.73866,-3.66605,-4.7788,-4.57904,-4.39246
112,57344,0.994323,-4.60849,0.348308,-6.10784,-3.66207,-4.81817,-4.60294,-4.38434
113,57856,0.994272,-4.62014,0.329311,-5.74173,-3.45435,-4.82322,-4.60646,-4.41
114,58368,0.994221,-4.60215,0.314303,-5.59804,-3.65656,-4.81434,-4.58104,-4.39997
115,58880,0.994171,-4.57157,0.29022,-5.41912,-3.51991,-4.76601,-4.56419,-4.37171
116,59392,0.99412,-4.59591,0.348128,-5.78431,-3.79749,-4.81196,-4.59972,-4.37753
117,59904,0.994069,-4.58445,0.310794,-5.69761,-3.72426,-4.79542,-4.57858,-4.36887
118,60416,0.994019,-4.59478,0.329029,-6.0625,-3.69547,-4.80507,-4.58686,-4.37393
119,60928,0.993968,-4.56951,0.329967,-5.93137,-3.14216,-4.78355,-4.56219,-4.35103
120,61440,0.993917,-4.60182,0.324176,-5.77359,-3.41973,-4.81487,-4.61091,-4.3884
121,61952,0.993867,-4.60361,0.332212,-5.87255,-3.51011,-4.803,-4.60555,-4.41123
122,62464,0.993816,-4.57776,0.349749,-6.18628,-3.53891,-4.78807,-4.57659,-4.36918
123,62976,0.993765,-4.58803,0.329057,-5.7549,-3.47917,-4.79396,-4.58655,-4.36956
124,63488,0.993715,-4.61066,0.326234,-5.55974,-3.64001,-4.8243,-4.61458,-4.3871
125,64000,0.993664,-4.5827,0.330115,-5.71569,-3.356,-4.7798,-4.57184,-4.3737
126,64512,0.993613,-4.56007,0.341114,-5.79412,-3.51777,-4.79251,-4.56664,-4.31281
127,65024,0.993563,-4.57483,0.35833,-6.25582,-3.53401,-4.77367,-4.55561,-4.34176
128,65536,0.993512,-4.58289,0.334538,-5.67647,-3.61887,-4.79266,-4.57567,-4.3701
129,66048,0.993461,-4.57642,0.346178,-5.67555,-3.32476,-4.7958,-4.56909,-4.35876
130,66560,0.99341,-4.62432,0.330498,-6.38235,-3.79657,-4.81763,-4.59712,-4.40311
131,67072,0.99336,-4.60205,0.317684,-5.55882,-3.66115,-4.81464,-4.5887,-4.39246
132,67584,0.993309,-4.59678,0.327089,-5.59804,-3.63419,-4.80836,-4.58287,-4.39614
133,68096,0.993258,-4.58046,0.326997,-5.71569,-3.63358,-4.79389,-4.55745,-4.35447
134,68608,0.993208,-4.58982,0.342368,-5.87469,-3.1345,-4.82629,-4.56235,-4.37339
135,69120,0.993157,-4.58779,0.315456,-5.48039,-3.72978,-4.81411,-4.572,-4.38817
136,69632,0.993106,-4.61411,0.357905,-5.87255,-3.38787,-4.8328,-4.60662,-4.374
137,70144,0.993056,-4.57394,0.341187,-5.52145,-3.52941,-4.7909,-4.5795,-4.36979
138,70656,0.993005,-4.58541,0.338358,-6.17647,-3.65288,-4.79144,-4.55591,-4.34015
139,71168,0.992954,-4.5914,0.332561,-5.86275,-3.61734,-4.80185,-4.56817,-4.38036
140,71680,0.992904,-4.5876,0.320473,-5.59804,-3.36397,-4.77382,-4.57445,-4.3809
141,72192,0.992853,-4.56943,0.342293,-5.73529,-3.55882,-4.77765,-4.56679,-4.34666
142,72704,0.992802,-4.62662,0.353258,-5.89216,-2.97794,-4.85087,-4.61336,-4.39131
143,73216,0.992752,-4.5967,0.320036,-5.64461,-3.63205,-4.79052,-4.57353,-4.39185
144,73728,0.992701,-4.58667,0.309274,-5.9902,-3.72181,-4.78125,-4.57062,-4.38289
145,74240,0.99265,-4.5996,0.336041,-5.85294,-3.53799,-4.84628,-4.57659,-4.39606
146,74752,0.992599,-4.57594,0.315154,-5.70588,-3.61612,-4.76586,-4.55637,-4.36657
147,75264,0.992549,-4.59578,0.326115,-5.87255,-3.74755,-4.79779,-4.57414,-4.37822
148,75776,0.992498,-4.58981,0.345848,-6.04902,-3.51348,-4.79848,-4.58563,-4.35945
149,76288,0.992447,-4.6075,0.338616,-6.0098,-3.4954,-4.82927,-4.59436,-4.36711
150,76800,0.992397,-4.59539,0.345471,-5.9902,-3.43229,-4.80676,-4.57736,-4.36749
151,77312,0.992346,-4.613,0.33666,-5.82353,-3.66575,-4.83464,-4.60876,-4.39576
152,77824,0.992295,-4.58592,0.339017,-5.63726,-3.62929,-4.78699,-4.57123,-4.36006
153,78336,0.992245,-4.59251,0.34286,-5.61244,-3.35447,-4.82169,-4.57659,-4.35179
154,78848,0.992194,-4.58385,0.328853,-5.55882,-3.63664,-4.78791,-4.59666,-4.37638
155,79360,0.992143,-4.55766,0.313857,-5.56434,-3.4519,-4.76203,-4.54948,-4.37783
156,79872,0.992093,-4.58538,0.32709,-5.60784,-3.55913,-4.8115,-4.5671,-4.36114
157,80384,0.992042,-4.60135,0.332,-6.10784,-3.47947,-4.82353,-4.60264,-4.39629
158,80896,0.991991,-4.59008,0.323035,-5.66054,-3.48683,-4.79266,-4.57567,-4.36259
159,81408,0.991941,-4.57886,0.329503,-5.91177,-3.80852,-4.79105,-4.57093,-4.3534
160,81920,0.99189,-4.58719,0.312281,-5.63726,-3.64553,-4.79128,-4.56817,-4.37638
161,82432,0.991839,-4.59382,0.335546,-5.68229,-3.50858,-4.79948,-4.57583,-4.38388
162,82944,0.991788,-4.59031,0.342522,-5.87255,-3.69884,-4.79672,-4.57874,-4.3691
163,83456,0.991738,-4.60021,0.332774,-5.67188,-3.63848,-4.81089,-4.57889,-4.37967
164,83968,0.991687,-4.60093,0.322447,-5.63726,-3.62837,-4.80208,-4.58885,-4.36175
165,84480,0.991636,-4.56312,0.312343,-5.55055,-3.48652,-4.75674,-4.54626,-4.36152
166,84992,0.991586,-4.57961,0.316346,-5.66115,-3.3655,-4.77313,-4.56725,-4.37921
167,85504,0.991535,-4.59012,0.34154,-5.82353,-3.46691,-4.7955,-4.5625,-4.36305
168,86016,0.991484,-4.57302,0.326017,-5.59804,-3.57904,-4.78684,-4.5671,-4.34352
169,86528,0.991434,-4.55827,0.319332,-5.59804,-3.47273,-4.75123,-4.53171,-4.32345
170,87040,0.991383,-4.59274,0.327685,-5.56495,-3.70251,-4.80208,-4.57139,-4.37967
171,87552,0.991332,-4.61259,0.328764,-5.7261,-3.59099,-4.82912,-4.61075,-4.3904
172,88064,0.991282,-4.58383,0.336529,-5.67647,-3.47151,-4.79626,-4.55637,-4.3678
173,88576,0.991231,-4.60842,0.322486,-5.86275,-3.58885,-4.81503,-4.59681,-4.36297
174,89088,0.99118,-4.59734,0.333542,-5.76471,-3.52145,-4.80277,-4.57797,-4.37309
175,89600,0.991129,-4.57862,0.357201,-6.10784,-3.60478,-4.78002,-4.56602,-4.34283
176,90112,0.991079,-4.57331,0.337897,-5.82353,-3.48315,-4.78431,-4.56311,-4.34291
177,90624,0.991028,-4.60695,0.343839,-5.74847,-3.37684,-4.81472,-4.57675,-4.39675
178,91136,0.990977,-4.59323,0.321368,-5.63726,-3.46538,-4.80836,-4.5625,-4.38335
179,91648,0.990927,-4.59346,0.326251,-5.63726,-3.06985,-4.79634,-4.57537,-4.38764
180,92160,0.990876,-4.6033,0.34403,-5.68352,-3.65993,-4.83709,-4.58104,-4.37485
181,92672,0.990825,-4.58949,0.330184,-5.7549,-3.75123,-4.80025,-4.55745,-4.36612
182,93184,0.990775,-4.57846,0.336786,-5.67647,-3.48131,-4.77183,-4.54871,-4.34038
183,93696,0.990724,-4.59642,0.348915,-6.07077,-3.34099,-4.81419,-4.56863,-4.37508
184,94208,0.990673,-4.59564,0.329665,-5.70588,-3.63787,-4.80997,-4.58226,-4.36696
185,94720,0.990623,-4.61157,0.334688,-5.82353,-3.73101,-4.81373,-4.58487,-4.3809
186,95232,0.990572,-4.60305,0.350248,-5.7451,-3.75245,-4.8351,-4.57537,-4.35179
187,95744,0.990521,-4.53713,0.327067,-5.81373,-3.63389,-4.73009,-4.51746,-4.31847
188,96256,0.990471,-4.60684,0.336464,-5.67647,-3.39798,-4.82904,-4.58471,-4.39614
189,96768,0.99042,-4.59322,0.321301,-5.68719,-3.70374,-4.78684,-4.57767,-4.37385
190,97280,0.990369,-4.58454,0.327721,-5.62745,-3.35815,-4.79251,-4.57675,-4.36788
191,97792,0.990318,-4.58478,0.337187,-5.76654,-3.62102,-4.81066,-4.58134,-4.35731
192,98304,0.990268,-4.57364,0.333755,-5.66391,-3.70067,-4.79335,-4.54779,-4.33517
193,98816,0.990217,-4.60452,0.322472,-5.87255,-3.44975,-4.78883,-4.58226,-4.4025
194,99328,0.990166,-4.58855,0.320463,-5.63726,-3.71844,-4.78493,-4.56403,-4.374
195,99840,0.990116,-4.59148,0.358121,-5.77696,-3.52849,-4.81442,-4.57828,-4.35884
196,100352,0.990065,-4.6003,0.35211,-5.52574,-3.66238,-4.83241,-4.58134,-4.37416
197,100864,0.990014,-4.56985,0.32901,-5.69608,-3.6106,-4.74495,-4.54626,-4.34766
198,101376,0.989964,-4.59754,0.347812,-5.63726,-3.60263,-4.81947,-4.57996,-4.36451
199,101888,0.989913,-4.57332,0.328101,-5.55882,-3.7068,-4.77459,-4.54611,-4.35049
200,102400,0.989862,-4.58041,0.320029,-5.53156,-3.37623,-4.76723,-4.57843,-4.38105
201,102912,0.989812,-4.60248,0.335627,-5.91177,-3.84283,-4.81503,-4.56893,-4.3943
202,103424,0.989761,-4.5756,0.341672,-6.0098,-3.56556,-4.80369,-4.56204,-4.3367
203,103936,0.98971,-4.59128,0.335341,-5.79412,-3.51348,-4.79657,-4.589,-4.36719
204,104448,0.98966,-4.58618,0.346905,-5.71569,-3.49234,-4.78975,-4.57184,-4.3449
205,104960,0.989609,-4.59767,0.343908,-5.62623,-3.55637,-4.82008,-4.57047,-4.38917
206,105472,0.989558,-4.60659,0.321492,-5.51961,-3.53983,-4.80407,-4.58624,-4.41023
207,105984,0.989507,-4.58318,0.347213,-5.71783,-3.04596,-4.79412,-4.57521,-4.3583
208,106496,0.989457,-4.57317,0.327839,-5.75276,-3.69669,-4.76394,-4.56786,-4.36221
209,107008,0.989406,-4.60571,0.310132,-5.67647,-3.39675,-4.8125,-4.60156,-4.41383
210,107520,0.989355,-4.59449,0.348093,-5.87255,-3.80637,-4.81419,-4.55944,-4.35003
211,108032,0.989305,-4.59459,0.338959,-5.52114,-3.41422,-4.81304,-4.58502,-4.3786
212,108544,0.989254,-4.58956,0.313555,-5.69424,-3.67402,-4.78546,-4.56556,-4.37309
213,109056,0.989203,-4.60036,0.316276,-5.76379,-3.50184,-4.79764,-4.58379,-4.39392
214,109568,0.989153,-4.5739,0.319063,-5.66667,-3.28585,-4.79435,-4.56265,-4.36734
215,110080,0.989102,-4.61051,0.337221,-5.81373,-3.5913,-4.8341,-4.59023,-4.37255
216,110592,0.989051,-4.58995,0.309805,-5.59804,-3.63664,-4.80584,-4.57261,-4.38036
217,111104,0.989001,-4.57802,0.337243,-5.51961,-3.59926,-4.80002,-4.56127,-4.33218
218,111616,0.98895,-4.55747,0.324763,-5.95098,-3.2595,-4.76333,-4.54749,-4.36014
219,112128,0.988899,-4.57864,0.32595,-5.95098,-3.6489,-4.78945,-4.57904,-4.37347
220,112640,0.988848,-4.55978,0.342633,-5.62745,-3.48438,-4.77972,-4.53968,-4.35807
221,113152,0.988798,-4.58631,0.333482,-5.4565,-3.60815,-4.79557,-4.58563,-4.36451
222,113664,0.988747,-4.579,0.319703,-5.55882,-3.60754,-4.79274,-4.56924,-4.35846
223,114176,0.988696,-4.6056,0.334144,-5.77451,-3.56066,-4.8066,-4.57996,-4.38871
224,114688,0.988646,-4.59006,0.322361,-5.82445,-3.40594,-4.80109,-4.58379,-4.35754
225,115200,0.988595,-4.56219,0.325405,-5.58977,-3.62224,-4.77037,-4.54795,-4.33479
226,115712,0.988544,-4.57533,0.33354,-5.81373,-3.60386,-4.79374,-4.56342,-4.34972
227,116224,0.988494,-4.60207,0.332761,-5.81373,-3.44975,-4.82001,-4.58992,-4.39415
228,116736,0.988443,-4.59981,0.34266,-5.77451,-3.31955,-4.83195,-4.58058,-4.36964
229,117248,0.988392,-4.57057,0.364337,-5.61765,-3.31158,-4.82874,-4.59023,-4.31618
