batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
62,31744,0.999371,-4.8948,0.112671,-5.25902,-4.54612,-4.97052,-4.90209,-4.81601
63,32256,0.999361,-4.89099,0.119023,-5.26007,-4.47437,-4.97057,-4.89394,-4.8111
64,32768,0.999351,-4.89346,0.120778,-5.36691,-4.37275,-4.96924,-4.90189,-4.82653
65,33280,0.999341,-4.89036,0.118189,-5.3337,-4.48857,-4.96541,-4.89161,-4.8152
66,33792,0.999331,-4.89491,0.113556,-5.22772,-4.51976,-4.97128,-4.89864,-4.82587
67,34304,0.999321,-4.89058,0.121837,-5.2851,-4.33155,-4.97739,-4.89711,-4.81402
68,34816,0.999311,-4.8811,0.115533,-5.17604,-4.50818,-4.96223,-4.88974,-4.80329
69,35328,0.999301,-4.89453,0.111286,-5.18249,-4.42296,-4.96783,-4.90199,-4.82635
70,35840,0.99929,-4.88781,0.114171,-5.21429,-4.42896,-4.96588,-4.89251,-4.81448
71,36352,0.99928,-4.89412,0.114948,-5.32932,-4.57896,-4.97373,-4.90013,-4.82308
72,36864,0.99927,-4.88336,0.119777,-5.31935,-4.49276,-4.95913,-4.89332,-4.80833
73,37376,0.99926,-4.88497,0.119657,-5.23824,-4.42273,-4.96844,-4.89135,-4.81384
74,37888,0.99925,-4.8916,0.114999,-5.26902,-4.46151,-4.96708,-4.89728,-4.82753
75,38400,0.99924,-4.90123,0.122391,-5.35625,-4.53124,-4.98349,-4.90517,-4.8189
76,38912,0.99923,-4.88794,0.118699,-5.24477,-4.40028,-4.96726,-4.89722,-4.81815
77,39424,0.999219,-4.89806,0.110288,-5.15079,-4.48054,-4.97066,-4.90574,-4.84012
78,39936,0.999209,-4.88605,0.117421,-5.23136,-4.52532,-4.96058,-4.88936,-4.80755
79,40448,0.999199,-4.89112,0.118114,-5.27207,-4.49474,-4.97049,-4.88531,-4.81428
80,40960,0.999189,-4.88339,0.12358,-5.32662,-4.34975,-4.96534,-4.89297,-4.80662
81,41472,0.999179,-4.8904,0.119153,-5.21429,-4.47488,-4.97503,-4.89313,-4.8158
82,41984,0.999169,-4.88299,0.115523,-5.17776,-4.50085,-4.96895,-4.87798,-4.80876
83,42496,0.999159,-4.8915,0.116895,-5.30952,-4.50841,-4.96827,-4.89601,-4.82378
84,43008,0.999148,-4.89057,0.11692,-5.30051,-4.39261,-4.96008,-4.89677,-4.81988
85,43520,0.999138,-4.88677,0.117918,-5.32845,-4.40275,-4.96311,-4.88782,-4.81827
86,44032,0.999128,-4.88399,0.117989,-5.2559,-4.47406,-4.9592,-4.88791,-4.82077
87,44544,0.999118,-4.89284,0.123103,-5.25214,-4.43752,-4.97566,-4.90153,-4.81484
88,45056,0.999108,-4.89503,0.111315,-5.28022,-4.54307,-4.97498,-4.89828,-4.82023
89,45568,0.999098,-4.88479,0.124774,-5.43898,-4.32745,-4.96434,-4.88477,-4.80567
90,46080,0.999088,-4.88619,0.117857,-5.30325,-4.50917,-4.9618,-4.8902,-4.80961
91,46592,0.999077,-4.8888,0.1212,-5.24925,-4.40175,-4.97334,-4.88113,-4.81506
92,47104,0.999067,-4.883,0.124791,-5.26313,-4.49802,-4.96334,-4.888,-4.80673
93,47616,0.999057,-4.88899,0.125709,-5.52564,-4.47538,-4.9686,-4.90003,-4.81144
94,48128,0.999047,-4.89097,0.11324,-5.24882,-4.44513,-4.96728,-4.89674,-4.82335
95,48640,0.999037,-4.89134,0.117481,-5.41307,-4.50986,-4.96604,-4.89736,-4.82283
96,49152,0.999027,-4.88899,0.120452,-5.41209,-4.52982,-4.96792,-4.89226,-4.81255
97,49664,0.999017,-4.88101,0.120579,-5.29936,-4.46882,-4.96416,-4.88323,-4.80723
98,50176,0.999007,-4.88326,0.112985,-5.26063,-4.50992,-4.95647,-4.88398,-4.80964
99,50688,0.998996,-4.89249,0.110408,-5.33941,-4.47265,-4.96046,-4.8921,-4.82277
100,51200,0.998986,-4.8803,0.118073,-5.24956,-4.50362,-4.95713,-4.88549,-4.81023
101,51712,0.998976,-4.89171,0.115922,-5.30038,-4.50859,-4.96552,-4.89333,-4.81183
102,52224,0.998966,-4.89117,0.103915,-5.22894,-4.51092,-4.96097,-4.89443,-4.83063
103,52736,0.998956,-4.89565,0.11485,-5.28421,-4.62811,-4.96625,-4.88827,-4.82534
104,53248,0.998946,-4.88766,0.113077,-5.47747,-4.4433,-4.96649,-4.88914,-4.81713
105,53760,0.998936,-4.89676,0.116805,-5.40236,-4.55185,-4.97123,-4.90081,-4.82692
106,54272,0.998925,-4.89759,0.114395,-5.20219,-4.45051,-4.97671,-4.8982,-4.83439
107,54784,0.998915,-4.89939,0.118113,-5.28091,-4.48899,-4.9737,-4.90486,-4.83223
108,55296,0.998905,-4.88975,0.115295,-5.26291,-4.39403,-4.96835,-4.90071,-4.81349
109,55808,0.998895,-4.89023,0.122459,-5.22772,-4.49231,-4.96946,-4.88942,-4.81481
110,56320,0.998885,-4.8918,0.117081,-5.34127,-4.52906,-4.9651,-4.88543,-4.81428
111,56832,0.998875,-4.88164,0.112605,-5.33272,-4.47877,-4.9514,-4.88235,-4.80487
112,57344,0.998865,-4.89466,0.120199,-5.37241,-4.53426,-4.9739,-4.901,-4.81933
