batch,episode_start,epsilon,mean,std,min,max,p25,p50,p75
54,27648,0.999453,-4.89557,0.121475,-5.3366,-4.3872,-4.96596,-4.90001,-4.82107
55,28160,0.999442,-4.89725,0.119978,-5.19719,-4.33559,-4.98048,-4.90813,-4.81662
56,28672,0.999432,-4.88765,0.120149,-5.33578,-4.41728,-4.96619,-4.89086,-4.81016
57,29184,0.999422,-4.90236,0.116346,-5.26801,-4.58189,-4.98202,-4.89978,-4.82384
58,29696,0.999412,-4.88787,0.11749,-5.18887,-4.51953,-4.97438,-4.89332,-4.81231
59,30208,0.999402,-4.89042,0.117956,-5.23159,-4.44067,-4.96779,-4.90276,-4.81386
60,30720,0.999392,-4.89728,0.111879,-5.21962,-4.53982,-4.96472,-4.9006,-4.82312
61,31232,0.999382,-4.89577,0.115593,-5.22136,-4.48453,-4.97194,-4.90072,-4.82212
62,31744,0.999371,-4.89467,0.112676,-5.25902,-4.54612,-4.96958,-4.90179,-4.81601
63,32256,0.999361,-4.89107,0.119223,-5.26007,-4.47437,-4.97017,-4.89394,-4.81056
64,32768,0.999351,-4.89395,0.120878,-5.36691,-4.37275,-4.96924,-4.90258,-4.83037
65,33280,0.999341,-4.8909,0.117299,-5.3337,-4.48857,-4.96541,-4.89182,-4.81632
66,33792,0.999331,-4.89587,0.114269,-5.22772,-4.51976,-4.97397,-4.89864,-4.82643
67,34304,0.999321,-4.89063,0.121684,-5.2851,-4.33155,-4.97665,-4.89711,-4.81382
68,34816,0.999311,-4.88186,0.114491,-5.17604,-4.50818,-4.96233,-4.88974,-4.80407
69,35328,0.999301,-4.89466,0.111726,-5.18249,-4.42296,-4.96907,-4.90168,-4.82724
70,35840,0.99929,-4.88777,0.113975,-5.21429,-4.42896,-4.96588,-4.89191,-4.81612
71,36352,0.99928,-4.89382,0.115504,-5.32809,-4.57896,-4.97373,-4.90074,-4.82284
72,36864,0.99927,-4.88338,0.119972,-5.31935,-4.49276,-4.95896,-4.89384,-4.80916
73,37376,0.99926,-4.88479,0.120099,-5.24091,-4.42273,-4.96844,-4.89135,-4.81384
74,37888,0.99925,-4.89205,0.115169,-5.26902,-4.46154,-4.96767,-4.89793,-4.82673
75,38400,0.99924,-4.90115,0.122466,-5.35625,-4.53124,-4.98253,-4.9055,-4.8189
76,38912,0.99923,-4.8882,0.117879,-5.24477,-4.40028,-4.96691,-4.898,-4.81886
77,39424,0.999219,-4.89793,0.109824,-5.1504,-4.48054,-4.97038,-4.9058,-4.84021
78,39936,0.999209,-4.88642,0.117545,-5.23136,-4.52532,-4.9607,-4.89022,-4.80755
79,40448,0.999199,-4.8923,0.118614,-5.27207,-4.49474,-4.9714,-4.88836,-4.81428
80,40960,0.999189,-4.88362,0.122763,-5.32662,-4.35004,-4.96516,-4.89297,-4.80884
81,41472,0.999179,-4.89021,0.119347,-5.21429,-4.47488,-4.97409,-4.89313,-4.8158
82,41984,0.999169,-4.88234,0.115648,-5.17776,-4.50085,-4.96947,-4.87761,-4.808
83,42496,0.999159,-4.89216,0.118201,-5.30952,-4.50841,-4.9691,-4.89723,-4.82115
84,43008,0.999148,-4.89062,0.116856,-5.30051,-4.39261,-4.96078,-4.89589,-4.81859
85,43520,0.999138,-4.88674,0.117913,-5.32845,-4.40275,-4.96308,-4.88756,-4.81827
86,44032,0.999128,-4.88442,0.118034,-5.2559,-4.47406,-4.9592,-4.88808,-4.82158
87,44544,0.999118,-4.89249,0.123161,-5.25214,-4.43752,-4.9737,-4.901,-4.81484
88,45056,0.999108,-4.89537,0.111415,-5.28022,-4.54307,-4.97498,-4.90008,-4.82062
89,45568,0.999098,-4.88424,0.12511,-5.43898,-4.32745,-4.96434,-4.8841,-4.80567
90,46080,0.999088,-4.88696,0.117648,-5.30325,-4.50917,-4.96261,-4.88973,-4.80991
91,46592,0.999077,-4.88931,0.120683,-5.24925,-4.40175,-4.97399,-4.88171,-4.81568
92,47104,0.999067,-4.88328,0.12471,-5.26313,-4.49801,-4.96334,-4.88866,-4.80673
93,47616,0.999057,-4.88928,0.125542,-5.51832,-4.47538,-4.96999,-4.89876,-4.81255
94,48128,0.999047,-4.89152,0.113348,-5.24882,-4.44513,-4.96765,-4.89615,-4.8235
95,48640,0.999037,-4.89131,0.118545,-5.41307,-4.50986,-4.96604,-4.89747,-4.8214
96,49152,0.999027,-4.88888,0.120534,-5.41209,-4.52982,-4.96792,-4.89205,-4.81205
97,49664,0.999017,-4.88079,0.120496,-5.29936,-4.46368,-4.96376,-4.88319,-4.80439
98,50176,0.999007,-4.88344,0.112896,-5.26063,-4.50784,-4.95676,-4.88398,-4.81085
99,50688,0.998996,-4.89224,0.110434,-5.33941,-4.47265,-4.96046,-4.8921,-4.82234
100,51200,0.998986,-4.88086,0.118402,-5.24956,-4.50362,-4.95788,-4.88549,-4.80929
101,51712,0.998976,-4.89202,0.116484,-5.30038,-4.50859,-4.96513,-4.89393,-4.81438
102,52224,0.998966,-4.8918,0.101792,-5.22894,-4.51092,-4.96102,-4.89525,-4.83096
103,52736,0.998956,-4.89564,0.114827,-5.28421,-4.62811,-4.96617,-4.88933,-4.82534
104,53248,0.998946,-4.88808,0.112618,-5.47747,-4.4433,-4.96559,-4.88914,-4.81818
105,53760,0.998936,-4.89631,0.117035,-5.40236,-4.55185,-4.97031,-4.89986,-4.82554
106,54272,0.998925,-4.89783,0.113771,-5.20219,-4.50322,-4.97671,-4.89933,-4.83287
107,54784,0.998915,-4.89926,0.118521,-5.28091,-4.48899,-4.97472,-4.90401,-4.83223
108,55296,0.998905,-4.88993,0.115488,-5.26413,-4.39403,-4.96884,-4.90064,-4.81443
